guid,dbfid,cardname,texname,texhash
AT_074,2717,Seal of Champions,AmbientCubeBottom,
AT_074,2717,Seal of Champions,W16_a052_D_Mask,B0CF53BF
AT_075,2515,Warhorse Trainer,W11_085_D,477D058A
AT_075,2515,Warhorse Trainer,UV_Wavy_Flow2,
AT_075,2515,Warhorse Trainer,HorseHead,9D8CD88C
AT_075,2515,Warhorse Trainer,W11_085_D_FADE1,4569A31B
AT_075,2515,Warhorse Trainer,W11_085_D_Mask,6849DC4E
AT_076,2655,Murloc Knight,HS5-038_D,61B5832A
AT_076,2655,Murloc Knight,Whirlwind2,4BF1EFA8
AT_076,2655,Murloc Knight,HS5-038_D_FADE,AA4F28F3
AT_076,2655,Murloc Knight,HS5-038_D_Mask,F9D0A12A
AT_077,2720,Argent Lance,HS5-039_D,7919B88F
AT_077,2720,Argent Lance,HS5-039_D_Mask,856E2C1D
AT_078,2654,Enter the Coliseum,HS5-067_D,4B75DDF5
AT_078,2654,Enter the Coliseum,HS5-067_D_Mask,A1656EEC
AT_079,2726,Mysterious Challenger,HS5-040_D,D03C57C2
AT_079,2726,Mysterious Challenger,HS5-040_D_Mask,F3B158B4
AT_080,2517,Garrison Commander,W8_049_D,017DDE2E
AT_080,2517,Garrison Commander,W8_049_D_Mask,FAEF0E29
AT_081,2727,Eadric the Pure,W12_a112_D,3B8B14F7
AT_081,2727,Eadric the Pure,W12_a112_D_Mask,D45A7C0B
AT_082,2486,Lowly Squire,HS5-014_D,16306E4C
AT_082,2486,Lowly Squire,UV_Wavy_Flow2,
AT_082,2486,Lowly Squire,HS5-014_D_Fade2,3C191B3C
AT_082,2486,Lowly Squire,HS5-014_D_Mask,4D498003
AT_083,2533,Dragonhawk Rider,HS5-056_D,65B4CB50
AT_083,2533,Dragonhawk Rider,FX_plasma_withLeaves,84F5B857
AT_083,2533,Dragonhawk Rider,HS5-056_D_Mask,6F4E83DB
AT_084,2577,Lance Carrier,HS5-015_D,8B818CE7
AT_084,2577,Lance Carrier,UV_Wavy_Flow2,
AT_084,2577,Lance Carrier,HS5-015_D_Fade3,958622E4
AT_084,2577,Lance Carrier,HS5-015_D_Fade2,57DAA8D4
AT_084,2577,Lance Carrier,HS5-015_D_Mask,4CDC240D
AT_085,2488,Maiden of the Lake,HS5-037_D,A5E96B14
AT_085,2488,Maiden of the Lake,HS5-037_D_Mask,5FD6A55B
AT_086,2576,Saboteur,W2_182_D,E9000EEB
AT_086,2576,Saboteur,W2_182_D_Mask,AEE73A97
AT_087,2490,Argent Horserider,HS5-017_D,ED83EFC6
AT_087,2490,Argent Horserider,HS5-017_D_Mask,397C3B4D
AT_088,2491,Mogor's Champion,HS5-057_D,3E262298
AT_088,2491,Mogor's Champion,rocks_alpha,ED55EC02
AT_088,2491,Mogor's Champion,HS5-057_D_Mask,34B67467
AT_089,2495,Boneguard Lieutenant,HS5-016_D,E1460A39
AT_089,2495,Boneguard Lieutenant,HS5-016_D_FADE2,EA5C3AF3
AT_089,2495,Boneguard Lieutenant,HS5-016_D_FADE2,EA5C3AF3
AT_089,2495,Boneguard Lieutenant,HS5-016_D_Mask,9C517836
AT_090,2497,Mukla's Champion,HS5-058_D,BC76A53A
AT_090,2497,Mukla's Champion,HS5-058_D_Mask,215F4258
AT_091,2575,Tournament Medic,W11_157_D,1E9D6916
AT_091,2575,Tournament Medic,W11_157_D_Mask,5087AAB5
AT_092,2594,Ice Rager,HS5-018_D,820EDA84
AT_092,2594,Ice Rager,metalScrap,D54E77FF
AT_092,2594,Ice Rager,metalScrap,D54E77FF
AT_092,2594,Ice Rager,HS5-018_D_Mask,03E9F1A7
AT_093,2532,Frigid Snobold,HS5-019_D,06AA2AB7
AT_093,2532,Frigid Snobold,HS5-019_D_Mask,8FDC6F98
AT_094,2580,Flame Juggler,W3_208_D,9F876414
AT_094,2580,Flame Juggler,ghostfire,3A9A32DE
AT_094,2580,Flame Juggler,W3_208_D_Mask,A9644268
AT_095,2579,Silent Knight,W2_283_D,BBB05653
AT_095,2579,Silent Knight,W2_283_D_Mask,D461B682
AT_096,2500,Clockwork Knight,HS5-020_D,66B98340
AT_096,2500,Clockwork Knight,HS5-020_D_Mask,826ECC8E
AT_097,2499,Tournament Attendee,W11_052_D,47EDC33A
AT_097,2499,Tournament Attendee,snowWind1,9A7B148C
AT_097,2499,Tournament Attendee,W11_052_D_Mask,EB739A69
AT_098,2573,Sideshow Spelleater,W4_303_D,B2E10D1A
AT_098,2573,Sideshow Spelleater,W4_303_D_Mask,A6739A93
AT_099,2598,Kodorider,w14_a188_D,FE5CE012
AT_099,2598,Kodorider,w14_a188_D_Mask,67F01B0A
AT_099t,2799,War Kodo,HS5-070_D,8F3EF11E
AT_099t,2799,War Kodo,HS5-070_D_Mask,CE3441D2
AT_100,2503,Silver Hand Regent,W11_156_D,043442A3
AT_100,2503,Silver Hand Regent,W11_156_D_Mask,7C77B83E
AT_101,2521,Pit Fighter,W3_010_D,F4F7A53C
AT_101,2521,Pit Fighter,ripple2,404EA271
AT_101,2521,Pit Fighter,ripple2,404EA271
AT_101,2521,Pit Fighter,W3_010_D_Mask,390184EE
AT_102,2522,Captured Jormungar,HS5-035_D,5E7B9492
AT_102,2522,Captured Jormungar,rocks_alpha,ED55EC02
AT_102,2522,Captured Jormungar,HS5-035_D_Mask,2FEC6C1F
AT_103,2520,North Sea Kraken,W16_a176_D,2F61301D
AT_103,2520,North Sea Kraken,W16_a176_D_FADE,0A8C21A7
AT_103,2520,North Sea Kraken,W16_a176_D_Mask,B10D0871
AT_104,2504,Tuskarr Jouster,HS5-066_D,7E2840A2
AT_104,2504,Tuskarr Jouster,HS5-066_D_Fade2,5BBAD1B5
AT_104,2504,Tuskarr Jouster,HS5-066_D_Mask,902ED116
AT_105,2502,Injured Kvaldir,HS5-021_D,2D37E0B9
AT_105,2502,Injured Kvaldir,HS5-021_D_Fade2,9589E1BA
AT_105,2502,Injured Kvaldir,HS5-021_D_Mask,20A58604
AT_106,2259,Light's Champion,R8_A039_D,3DD7F534
AT_106,2259,Light's Champion,R8_A039_D_Mask,771F69EA
AT_108,2627,Armored Warhorse,HS5-036_D,3C4D7134
AT_108,2627,Armored Warhorse,UV_Wavy_Flow2,
AT_108,2627,Armored Warhorse,HS5-036_D_Mask,042642CE
AT_109,2505,Argent Watchman,HS5-071_D,DF5A06AC
AT_109,2505,Argent Watchman,HS5-071_D_Mask,6708017D
AT_109e,2506,Inspired,HS5-071_D,DF5A06AC
AT_110,2585,Coliseum Manager,W11_220_D,FEA69599
AT_110,2585,Coliseum Manager,W11_220_D_Mask,00E26FE2
AT_111,2704,Refreshment Vendor,HS5-042_D,D942BCC0
AT_111,2704,Refreshment Vendor,HS5-042_D_Golden_Mouth,488D4E7E
AT_111,2704,Refreshment Vendor,HS5-042_D_Mask,C6CE921F
AT_112,2507,Master Jouster,HS5-032_D,E6343494
AT_112,2507,Master Jouster,HS5-032_D_Golden_Rider,DB3CAB27
AT_112,2507,Master Jouster,motesHeavy_Alpha,F7C86950
AT_112,2507,Master Jouster,HS5-032_D_Mask,561B1859
AT_113,2509,Recruiter,HS5-022_D,7414271A
AT_113,2509,Recruiter,HS5-022_D_Mask,1B955F33
AT_114,2752,Evil Heckler,W12_a122_D,13A7DC05
AT_114,2752,Evil Heckler,ghostfire,3A9A32DE
AT_114,2752,Evil Heckler,W12_a122_D_Mask,2946ADE4
AT_115,2581,Fencing Coach,W5_052_D,914C639E
AT_115,2581,Fencing Coach,W5_052_D_Mask,1C86CD88
AT_116,2596,Wyrmrest Agent,W9_001_D,ADCEBE62
AT_116,2596,Wyrmrest Agent,W9_001_D_Mask,6D06E07D
AT_117,2493,Master of Ceremonies,HS5-023_D,251F6889
AT_117,2493,Master of Ceremonies,flowers4,E6F13822
AT_117,2493,Master of Ceremonies,flowers4,E6F13822
AT_117,2493,Master of Ceremonies,HS5-023_D_Mask,55F23A3D
AT_118,2510,Grand Crusader,HS5-024_D,AA2866FA
AT_118,2510,Grand Crusader,rocks4,2019B082
AT_118,2510,Grand Crusader,HS5-024_D_Mask,EE3FAE88
AT_119,2511,Kvaldir Raider,HS5-025_D,124A076E
AT_119,2511,Kvaldir Raider,HS5-025_D_Mask,D53BE64B
AT_120,2512,Frost Giant,HS5-026_D,C0E5C0CF
AT_120,2512,Frost Giant,HS5-026_D_FADE1,1321BDC1
AT_120,2512,Frost Giant,HS5-026_D_mask,7DA5659D
AT_121,2518,Crowd Favorite,HS5-059_D,3A10C180
AT_121,2518,Crowd Favorite,flowers4,E6F13822
AT_121,2518,Crowd Favorite,flowers5,2D7B56D5
AT_121,2518,Crowd Favorite,HS5-059_D_Mask,F39F8C43
AT_122,2724,Gormok the Impaler,HS5-027_D,ACC8AD95
AT_122,2724,Gormok the Impaler,HS5-027_D_Mask,98666726
AT_123,2682,Chillmaw,R6_a019_D,23A9BF73
AT_123,2682,Chillmaw,R6_a019_D_Mask,A9D346F7
AT_124,2595,Bolf Ramshield,HS5-060_D,D87C9733
AT_124,2595,Bolf Ramshield,HS5-060_D_Golden_Pieces,893F7F1E
AT_124,2595,Bolf Ramshield,HS5-060_D_Mask,06D781B0
AT_125,2725,Icehowl,HS5-028_D,E1DDD73D
AT_125,2725,Icehowl,HS5-028_D_Mask,5659BC1F
AT_127,2683,Nexus-Champion Saraad,HS5-043_D,969F7BB8
AT_127,2683,Nexus-Champion Saraad,soft_lightning_2,3C1D3CC0
AT_127,2683,Nexus-Champion Saraad,HS5-043_D_Mask,41A0CA4E
AT_128,2681,The Skeleton Knight,HS5-029_D,8658EDCD
AT_128,2681,The Skeleton Knight,HS5-029_D_Mask,DE5F9323
AT_129,2748,Fjola Lightbane,HS5-062_D,ECB7E9F2
AT_129,2748,Fjola Lightbane,pulse2,
AT_129,2748,Fjola Lightbane,HS5-062_D_Mask,86BDAFF7
AT_130,2723,Sea Reaver,HS5-030_D,643748A2
AT_130,2723,Sea Reaver,HS5-030_D_Mask,99731F4E
AT_131,2519,Eydis Darkbane,W12_a123_D,4077887C
AT_131,2519,Eydis Darkbane,W12_a123_D_Mask,85385055
AT_132,2736,Justicar Trueheart,HS5-031_D,3A87A84F
AT_132,2736,Justicar Trueheart,HS5-031_D_Mask,A4A650B5
