guid,PortraitTexture,PremiumPortraitMaterial,PremiumUberShaderAnimation,PremiumPortraitTexture,SignaturePortraitTexture,SignaturePortraitMaterial,SignatureUberShaderAnimation
AV_134,HS24-090_M,AV_134_PremiumCard,AV_134_PremiumCard,HS24-090_M_Premium,,,
AV_135,HS24-091_M,AV_135_PremiumCard,AV_135_PremiumCard,HS24-091_M_Premium,,,
AV_136,HS24-092_M,AV_136_PremiumCard,AV_136_PremiumCard,HS24-092_M_Premium,,,
AV_136t,HS24-093_S,AV_136t_PremiumCard,AV_136t_PremiumCard,HS24-093_S_Premium,,,
AV_137,HS24-094_M,AV_137_PremiumCard,AV_137_PremiumCard,HS24-094_M_Premium,,,
AV_138,HS24-095_M,AV_138_PremiumCard,AV_138_PremiumCard,HS24-095_M_Premium,,,
AV_139,HS24-096_M,AV_139_PremiumCard,AV_139_PremiumCard,HS24-096_M_Premium,,,
AV_141t,HS24-178_M,AV_141t_PremiumCard,AV_141t_PremiumCard,HS24-178_M_Premium,,,
AV_142t,HS24-179_M,AV_142t_PremiumCard,AV_142t_PremiumCard,HS24-179_M_Premium,,,
AV_143,HS24-100_M,AV_143_PremiumCard,AV_143_PremiumCard,HS24-100_M_Premium,,,
AV_145,HS24-051_M,AV_145_PremiumCard,AV_145_PremiumCard,HS24-051_M_Premium,,,
AV_146,HS24-057_W,AV_146_PremiumCard,AV_146_PremiumCard,HS24-057_W_Premium,,,
AV_147,HS24-101_S,AV_147_PremiumCard,AV_147_PremiumCard,HS24-101_S_Premium,,,
AV_200,HS24-015_H,AV_200_PremiumCard,AV_200_PremiumCard,,,,
AV_200p2,HS24-122_HP,AV_200p2_PremiumCard,AV_200p2_PremiumCard,HS24-122_HP_Premium,,,
AV_201,HS24-035_M,AV_201_PremiumCard,AV_201_PremiumCard,HS24-035_M_Premium,,,
AV_202,HS24-052_H,AV_202_PremiumCard,AV_202_PremiumCard,HS24-052_H_Premium,,,
AV_202p,HS24-165_HP,AV_202p_PremiumCard,AV_202p_PremiumCard,HS24-165_HP_premium,,,
AV_202t2,HS24-050_W,AV_202t2_PremiumCard,AV_202t2_PremiumCard,HS24-050_W_Premium,,,
AV_203,HS24-041_H,AV_203_PremiumCard,AV_203_PremiumCard,HS24-041_H_Premium,,,
AV_203p,HS24-153_HP,AV_203p_PremiumCard,AV_203p_PremiumCard,,,,
AV_203t,HS24-152_M,AV_203t_PremiumCard,AV_203t_PremiumCard,HS24-152_M_Premium,,,
AV_204,HS24-029_H,AV_204_PremiumCard,AV_204_PremiumCard,HS24-029_H_Premium,,,
AV_204p,HS24-135_HP,AV_204p_PremiumCard,AV_204p_PremiumCard,,,,
AV_204t2,HS24-136_M,AV_204t2_PremiumCard,AV_204t2_PremiumCard,HS24-136_M_Premium,,,
AV_205,HS24-068_H,AV_205_PremiumCard,AV_205_PremiumCard,HS24-068_H_Premium,,,
AV_205a,HS24-229_S,AV_205a_PremiumCard,AV_205a_PremiumCard,HS24-229_S_Premium,,,
AV_205p,HS24-175_HP,AV_205p_PremiumCard,AV_205p_PremiumCard,HS24-175_HP_Premium,,,
AV_205pb,HS24-228_S,AV_205pb_PremiumCard,AV_205pb_PremiumCard,HS24-228_S,,,
AV_206,HS24-058_H,AV_206_PremiumCard,AV_206_PremiumCard,HS24-058_H_Premium,,,
AV_206p,HS24-171_HP,AV_206p_PremiumCard,AV_206p_PremiumCard,,,,
AV_207,HS24-046_H,AV_207_PremiumCard,AV_207_PremiumCard,HS24-046_H_Premium,,,
AV_207p,HS24-157_HP,AV_207p_PremiumCard,AV_207p_PremiumCard,,,,
AV_207p2,HS24-158_HP,AV_207p2_PremiumCard,AV_207p2_PremiumCard,,,,
AV_209,HS24-025_W,AV_209_PremiumCard,AV_209_PremiumCard,HS24-025_W_Premium,,,
AV_210,HS24-059_M,AV_210_PremiumCard,AV_210_PremiumCard,HS24-059_M_Premium,,,
AV_211,HS24-065_M,AV_211_PremiumCard,AV_211_PremiumCard,HS24-065_M_Premium,,,
AV_211t,HS24-173_M,AV_211t_PremiumCard,AV_211t_PremiumCard,HS24-173_M_Premium,,,
AV_212,HS24-009_S,AV_212_PremiumCard,AV_212_PremiumCard,HS24-009_S_Premium,,,
AV_213,HS24-053_S,AV_213_PremiumCard,AV_213_PremiumCard,HS24-053_S_Premium,,,
AV_215,HS24-081_M,AV_215_PremiumCard,AV_215_PremiumCard,HS24-081_M_Premium,,,
AV_218,HS24-114_S,AV_218_PremiumCard,AV_218_PremiumCard,HS24-114_S_Premium,,,
AV_218t,WoW_LEAD_015a_D,CS2_tk1_PremiumCard_new,,,,,
AV_219,HS24-075_M,AV_219_PremiumCard,AV_219_PremiumCard,HS24-075_M_Premium,,,
AV_219t,HS24-076_M,AV_219t_PremiumCard,AV_219t_PremiumCard,HS24-076_M_Premium,,,
AV_222,HS24-097_M,AV_222_PremiumCard,AV_222_PremiumCard,HS24-097_M_Premium,,,
AV_223,HS24-099_M,AV_223_PremiumCard,AV_223_PremiumCard,HS24-099_M_Premium,,,
AV_224,HS24-005_S,AV_224_PremiumCard,AV_224_PremiumCard,HS24-005_S_Premium,,,
AV_226,HS24-002_S,AV_226_PremiumCard,AV_226_PremiumCard,HS24-002_S_Premium,,,
AV_238,HS24-073_M,AV_238_PremiumCard,AV_238_PremiumCard,HS24-073_M_Premium,,,
AV_244,HS24-001_W,AV_244_PremiumCard,AV_244_PremiumCard,,,,
AV_250,HS24-033_S,AV_250_PremiumCard,AV_250_PremiumCard,HS24-033_S_Premium,,,
AV_251,HS24-140_M,AV_251_PremiumCard,AV_251_PremiumCard,HS24-140_M_Premium,,,
AV_255,HS24-030_M,AV_255_PremiumCard,AV_255_PremiumCard,HS24-030_M_Premium,,,
AV_256,HS24-084_M,AV_256_PremiumCard,AV_256_PremiumCard,HS24-084_M_Premium,,,
AV_257,HS24-141_M,AV_257_PremiumCard,AV_257_PremiumCard,,,,
AV_257t,HS24-142_M,AV_257t_PremiumCard,AV_257t_PremiumCard,HS24-142_M_Premium,,,
AV_258,HS24-034_H,AV_258_PremiumCard,AV_258_PremiumCard,HS24-034_H_Premium,,,
AV_258p,HS24-148_HP,AV_258p_PremiumCard,AV_258p_PremiumCard,HS24-148_HP_Premium,,,
AV_258p2,HS24-144_HP,AV_258p2_PremiumCard,AV_258p2_PremiumCard,HS24-144_HP_Premium,,,
AV_258pt,HS24-143_HP,AV_258pt_PremiumCard,AV_258pt_PremiumCard,HS24-143_HP_premium,,,
AV_258pt3,HS24-145_HP,AV_258pt3_PremiumCard,AV_258pt3_PremiumCard,,,,
AV_258pt4,HS24-146_HP,AV_258pt4_PremiumCard,AV_258pt4_PremiumCard,HS24-146_HP_Premium,,,
AV_258pt7,HS24-148_HP,AV_258p_PremiumCard,AV_258p_PremiumCard,,,,
AV_258t,HS24-143_S,AV_258t_PremiumCard,AV_258t_PremiumCard,HS24-143_S_Premium,,,
AV_258t2,HS24-144_S,AV_258t2_PremiumCard,AV_258t2_PremiumCard,HS24-144_S_Premium,,,
AV_258t3,HS24-145_S,AV_258t3_PremiumCard,AV_258t3_PremiumCard,HS24-145_S_Premium,,,
AV_258t4,HS24-146_S,AV_258t4_PremiumCard,AV_258t4_PremiumCard,HS24-146_S_Premium,,,
AV_258t6,HS24-147_M,AV_258t6_PremiumCard,AV_258t6_PremiumCard,HS24-147_M_Premium,,,
AV_259,HS24-137_S,AV_259_PremiumCard,AV_259_PremiumCard,HS24-137_S_Premium,,,
AV_260,HS24-139_M,AV_260_PremiumCard,AV_260_PremiumCard,HS24-139_M_Premium,,,
AV_261,HS24-026_M,AV_261_PremiumCard,AV_261_PremiumCard,HS24-026_M_Premium,,,
AV_262,HS24-131_M,AV_262_PremiumCard,AV_262_PremiumCard,HS24-131_M_Premium,,,
AV_264,HS24-133_S,AV_264_PremiumCard,AV_264_PremiumCard,HS24-133_S_Premium,,,
AV_265,HS24-130_M,AV_265_PremiumCard,AV_265_PremiumCard,HS24-130_M_Premium,,,
AV_266,HS24-032_S,AV_266_PremiumCard,AV_266_PremiumCard,HS24-032_S_Premium,,,
AV_267,HS24-134_M,AV_267_PremiumCard,AV_267_PremiumCard,,,,
AV_268,HS24-105_S,AV_268_PremiumCard,AV_268_PremiumCard,,,,
AV_269,HS24-027_S,AV_269_PremiumCard,AV_269_PremiumCard,HS24-027_S_Premium,,,
AV_269t,HS24-028_M,AV_269t_PremiumCard,AV_269t_PremiumCard,HS24-028_M_Premium,,,
AV_277,HS24-123_S,AV_277_PremiumCard,AV_277_PremiumCard,HS24-123_S_Premium,,,
AV_281,HS24-126_S,AV_281_PremiumCard,AV_281_PremiumCard,HS24-126_S_Premium,,,
AV_282,HS24-115_S,AV_282_PremiumCard,AV_282_PremiumCard,HS24-115_S_Premium,,,
AV_282t,HS24-116_M,AV_282t_PremiumCard,AV_282t_PremiumCard,HS24-116_M_Premium,,,
AV_282t2,HS24-117_S,AV_282t2_PremiumCard,AV_282t2_PremiumCard,,,,
AV_282t3,HS24-118_M,AV_282t3_PremiumCard,AV_282t3_PremiumCard,HS24-118_M_Premium,,,
AV_282t4,HS24-119_S,AV_282t4_PremiumCard,AV_282t4_PremiumCard,HS24-119_S_Premium,,,
AV_282t5,HS24-120_M,AV_282t5_PremiumCard,AV_282t5_PremiumCard,HS24-120_M_Premium,,,
AV_283,HS24-121_S,AV_283_PremiumCard,AV_283_PremiumCard,HS24-121_S_Premium,,,
AV_284,HS24-013_M,AV_284_PremiumCard,AV_284_PremiumCard,,,,
AV_285,HS24-124_S,AV_285_PremiumCard,AV_285_PremiumCard,HS24-124_S_Premium,,,
AV_286,HS24-019_M,AV_286_PremiumCard,AV_286_PremiumCard,,,,
AV_290,HS24-102_S,AV_290_PremiumCard,AV_290_PremiumCard,HS24-102_S_Premium,,,
AV_291,HS24-061_M,AV_291_PremiumCard,AV_291_PremiumCard,HS24-061_M_Premium,,,
AV_292,HS24-174_S,AV_292_PremiumCard,AV_292_PremiumCard,HS24-174_S_Premium,,,
AV_293,HS24-066_M,AV_293_PremiumCard,AV_293_PremiumCard,HS24-066_M_Premium,,,
AV_293t,HS24-067_M,AV_293t_PremiumCard,AV_293t_PremiumCard,HS24-067_M_Premium,,,
AV_294,HS24-172_M,AV_294_PremiumCard,AV_294_PremiumCard,HS24-172_M_Premium,,,
AV_295,HS24-062_S,AV_295_PremiumCard,AV_295_PremiumCard,HS24-062_S_Premium,,,
AV_295a,HS24-063_S,AV_295a_PremiumCard,AV_295a_PremiumCard,,,,
AV_295b,HS24-064_S,AV_295b_PremiumCard,AV_295b_PremiumCard,,,,
AV_296,HS24-060_M,AV_296_PremiumCard,AV_296_PremiumCard,HS24-060_M_Premium,,,
AV_298,HS24-037_M,AV_298_PremiumCard,AV_298_PremiumCard,HS24-037_M_Premium,,,
AV_308,HS24-016_M,AV_308_PremiumCard,AV_308_PremiumCard,,,,
AV_309,HS24-017_M,AV_309_PremiumCard,AV_309_PremiumCard,HS24-017_M_Premium,,,
AV_309t,HS24-018_M,AV_309t_PremiumCard,AV_309t_PremiumCard,,,,
AV_312,HS24-125_M,AV_312_PremiumCard,AV_312_PremiumCard,HS24-125_M_Premium,,,
AV_313,HS24-020_M,AV_313_PremiumCard,AV_313_PremiumCard,HS24-020_M_Premium,,,
AV_315,HS24-043_S,AV_315_PremiumCard,AV_315_PremiumCard,HS24-043_S_Premium,,,
AV_316,HS24-023_H,AV_316_PremiumCard,AV_316_PremiumCard,HS24-023_H_Premium,,,
AV_316hp,HS24-129_HP,AV_316hp_PremiumCard,AV_316hp_PremiumCard,HS24-129_HP_PremiumPortrait,,,
AV_316t,HS24-128_M,AV_316t_PremiumCard,AV_316t_PremiumCard,HS24-128_M,,,
AV_316t4,HS24-127_S,AV_316t4_PremiumCard,AV_316t4_PremiumCard,HS24-127_S_BG,,,
AV_317,HS24-024_S,AV_317_PremiumCard,AV_317_PremiumCard,HS24-024_S_Premium,,,
AV_321,HS24-049_M,AV_321_PremiumCard,AV_321_PremiumCard,HS24-049_M_Premium,,,
AV_322,HS24-162_S,AV_322_PremiumCard,AV_322_PremiumCard,HS24-162_S_Premium,,,
AV_323,HS24-159_M,AV_323_PremiumCard,AV_323_PremiumCard,HS24-048_M_Premium,,,
AV_323t,HS24-160_M,AV_323t_PremiumCard,AV_323t_PremiumCard,HS24-160_M_premium,,,
AV_324,HS24-155_S,AV_324_PremiumCard,AV_324_PremiumCard,,,,
AV_325,HS24-042_M,AV_325_PremiumCard,AV_325_PremiumCard,HS24-042_M_Premium,,,
AV_326,HS24-154_M,AV_326_PremiumCard,AV_326_PremiumCard,,,,
AV_328,HS24-230_M,AV_328_PremiumCard,AV_328_PremiumCard,HS24-230_M_Premium,,,
AV_329,HS24-045_S,AV_329_PremiumCard,AV_329_PremiumCard,HS24-045_S_Premium,,,
AV_330,HS24-156_S,AV_330_PremiumCard,AV_330_PremiumCard,HS24-156_S_Premium,,,
AV_331,HS24-044_M,AV_331_PremiumCard,AV_331_PremiumCard,HS24-044_M_Premium,,,
