guid,dbfid,cardname
AV_142e,71427,Crystalskin
AV_142e2,71428,Uprooted
AV_142e3,71429,Forestguard
AV_142e4,71430,Imposing
AV_142t,70257,"Ivus, the Forest Lord"
AV_143,70258,Korrak the Bloodrager
AV_145,70282,Captain Galvangar
AV_145e,71041,Fury of the Frostwolf
AV_146,70495,The Immovable Object
AV_146e,74944,Tough
AV_146e2,74946,Resilient Weapon
AV_147,71321,Dun Baldar Bunker
AV_147e,72817,Cloaked Secrets
AV_200,66848,Magister Dawngrasp
AV_200p2,67047,Arcane Burst
AV_201,66874,Coldtooth Yeti
AV_201e,67215,Yeti Rage
AV_202,66876,"Rokara, the Valorous"
AV_202p,66877,Grand Slam
AV_202t2,72683,The Unstoppable Force
AV_203,66939,Shadowcrafter Scabbs
AV_203p,66940,Sleight of Hand
AV_203pe,76047,Sleight of Hand
AV_203po,76049,Sleight of Hand
AV_203t,66941,Shadow
AV_204,66951,"Kurtrus, Demon-Render"
AV_204e,66956,Ashfallen's Power
AV_204p,66952,Ashfallen's Fury
AV_204t2,67880,Felbat Shrieker
AV_205,66953,Wildheart Guff
AV_205a,72839,Ice Blossom
AV_205p,66954,Nurture
AV_205pb,72840,Valley Root
AV_206,67040,Lightforged Cariel
AV_206p,67041,Blessing of Queens
AV_206pe,74945,Blessing of Queens
AV_207,67048,"Xyrella, the Devout"
AV_207p,67049,Holy Touch
AV_207p2,67050,Void Spike
AV_209,67204,Dreadprison Glaive
AV_210,67207,Pathmaker
AV_210e,67208,Path Tracker
AV_211,67209,Dire Frostwolf
AV_211t,72718,Frostwolf Cub
AV_212,67210,Siphon Mana
AV_212e,67285,Kablow!
AV_213,67211,Vitality Surge
AV_215,67217,Frantic Hippogryph
AV_218,67224,Mass Polymorph
AV_218t,72677,Sheep
AV_219,67233,Ram Commander
AV_219t,67247,Battle Ram
AV_222,67237,Spammy Arcanist
AV_223,67239,Vanndar Stormpike
AV_223e,75852,Occupy the Keep
AV_224,67241,Spring the Trap
AV_226,67243,Ice Trap
AV_226e,67813,Frosty
AV_238,67375,Gankster
AV_244,67574,Bloodseeker
AV_244e,67814,Bloodseeking
AV_250,67751,Snowball Fight!
AV_251,67761,Cheaty Snobold
AV_255,67769,Snowfall Guardian
AV_255e,67860,Chilled
AV_256,79979,Reflecto Engineer
AV_256e,79980,Reflected
AV_257,67778,Bearon Gla'shear
AV_257t,72818,Frozen Stagguard
AV_258,67779,Bru'kan of the Elements
AV_258p,67802,Elemental Mastery
AV_258p2,70520,Water Invocation
AV_258pt,70519,Earth Invocation
AV_258pt3,70521,Fire Invocation
AV_258pt4,70522,Lightning Invocation
AV_258pt7,82021,Command the Elements
AV_258t,67815,Earth Invocation
AV_258t2,67816,Water Invocation
AV_258t3,67817,Fire Invocation
AV_258t4,67818,Lightning Invocation
AV_258t6,70123,Earthen Guardian
AV_259,67833,Frostbite
AV_259e,81891,Frostbitten
AV_259e2,81892,Frostbitten
AV_260,67861,Sleetbreaker
AV_261,67886,Flag Runner
AV_261e,68060,Team Player
AV_262,67887,Warden of Chains
AV_262e2,71376,Terrifying
AV_264,67892,Sigil of Reckoning
AV_265,67894,Ur'zul Giant
AV_266,67932,Windchill
AV_267,68061,Caria Felsoul
AV_267e2,71364,Demonic
AV_268,68187,Wildpaw Cavern
AV_269,68216,Flanking Maneuver
AV_269e,68217,Woe Is Me
AV_269t,69575,Snowy Satyr
AV_277,69986,Seeds of Destruction
AV_281,70003,Felfire in the Hole!
AV_282,70005,Build a Snowman
AV_282t,70006,Snowman
AV_282t2,70007,Build a Snowbrute
AV_282t3,70008,Snowbrute
AV_282t4,70009,Build a Snowgre
AV_282t5,70010,Snowgre
AV_283,70011,Rune of the Archmage
AV_284,70015,Balinda Stonehearth
AV_284e,75815,Arcane Swap
AV_284e2,81871,Magical Shift
AV_284e3,81874,Magical Shift
AV_285,70107,Full-Blown Evil
AV_286,70118,Felwalker
AV_286e2,73820,Felgorged
AV_290,70204,Iceblood Tower
AV_291,70247,Frostsaber Matriarch
AV_292,70249,Heart of the Wild
AV_292e,70250,Pack Alpha
AV_292e2,74750,Pack Member
AV_293,70292,Wing Commander Mulverick
AV_293e,71349,Air Strike
AV_293t,71263,Strike Wyvern
AV_294,70295,Clawfury Adept
AV_294e,70296,Snowcapped
AV_295,70320,Capture Coldtooth Mine
AV_295a,70321,More Resources
AV_295b,70322,More Supplies
AV_296,70333,Pride Seeker
AV_296e,70334,Grown Up
AV_296e2,72974,Proud
AV_298,70395,Wildpaw Gnoll
AV_308,67826,Grave Defiler
AV_309,67753,Piggyback Imp
AV_309t,70303,Backpiggy Imp
AV_312,67756,Sacrificial Summoner
AV_313,67757,Hollow Abomination
AV_313e,73425,Consumed
AV_315,67759,Deliverance
AV_315e2,67869,Salvation
AV_316,67760,Dreadlich Tamsin
AV_316hp,67837,Chains of Dread
AV_316t,67773,Dread Imp
AV_316t4,69987,Fel Rift
AV_317,67825,Tamsin's Phylactery
AV_317e,70000,Lich Perfume
AV_321,68244,Glory Chaser
AV_322,68246,Snowed In
AV_323,68255,Scrapsmith
AV_323t,71040,Scrappy Grunt
AV_324,70020,Shadow Word: Devour
AV_324e2,76050,Superior
AV_324e2b,76056,Superior
AV_324e3,76057,Inferior
AV_324eb,76052,Inferior
AV_325,70021,Undying Disciple
AV_326,70022,Luminous Geode
AV_326e,71092,Illuminated
AV_328,70024,Spirit Guide
AV_329,70025,Bless
AV_329e,70029,Blessed
AV_329e2,79572,Blessed
AV_330,70026,Gift of the Naaru
AV_331,70027,Najak Hexxen
AV_331e,73814,Dark Concoction
AV_331e2,82325,Dark Concoction
AV_333,70103,Revive Pet
AV_334,70104,Stormpike Battle Ram
AV_334e,70110,Ready for Battle
AV_334e2,72661,Battle Ready
AV_335,70105,Ram Tamer
AV_335e,70111,Sneaking Up
AV_336,70106,Wing Commander Ichman
AV_336e,70112,Frightful Pack
AV_337,70245,Mountain Bear
AV_337t,71465,Mountain Cub
AV_338,70260,Hold the Bridge
AV_338e,74887,High Morale
AV_338e2,74888,High Morale
AV_339,70262,Templar Captain
AV_340,70261,Brasswing
AV_341,70264,Cavalry Horn
AV_342,70263,Protect the Innocent
AV_342t,71151,Stormpike Defender
AV_343,70265,Stonehearth Vindicator
AV_343e,71152,Stone Fortitude
AV_344,72807,Dun Baldar Bridge
AV_344e,72819,Coldtooth Supplies
AV_345,72810,Saidan the Scarlet
AV_360,73528,Frostwolf Kennels
AV_400,70396,Snowfall Graveyard
AV_400e,70398,Bunkered Up
AV_401,70400,Stormpike Quartermaster
AV_401e,70403,Quartered
AV_402,70488,The Lobotomizer
AV_403,70523,Cera'thine Fleetrunner
AV_403e2,73041,Quickfooted
AV_405,70636,Contraband Stash
AV_565,73459,Axe Berserker
AV_601,76041,Forsaken Lieutenant
AV_601e,76043,Forsaken
AV_657,72440,Desecrated Graveyard
AV_657e,72498,Sacrificing
AV_657t,72441,Desecrated Shade
AV_660,72460,Iceblood Garrison
AV_661,72549,Field of Strife
AV_661e2,72551,Empowered
AV_664,72563,Stormpike Aid Station
AV_664e2,73454,Restored
AV_704,67927,Humongous Owl
AV_710,70202,Reconnaissance
AV_710e,70209,Contracted
AV_711,70203,Double Agent
AV_750,85302,???
AV_751,85303,???
AV_752,85323,???
AV_753,86200,???
AV_760,85408,Move
AV_760t0,85652,Empty
AV_760t1,85653,Wall
AV_760t2,85654,Darkness
AV_760t3,85655,Angry Treant
AV_760t4,85656,Lava
AV_760t5,85657,Cracked Wall
AV_760t6,85658,Chest
AV_760t7,85659,Friendly Vendor
AV_761t0,85943,Gold Coins
AV_761t1,85944,Torch
AV_761t2,85945,Compass
AV_761t3,85946,Axe
AV_761t4,85947,Magmawalk Boots
AV_761t5,85948,Dynamite
AV_761t6,86490,???
AV_780e,85439,???
AV_781,85409,???
AV_782,85536,???
AV_783,85537,???
AV_784,85538,???
AV_785,85539,???
AV_786,85541,???
AV_COIN1,80547,The Coin
AV_COIN2,80549,The Coin
BARL_002H_01,70607,Varok Saurfang
BARL_002H_02,70606,Varok Saurfang
BARL_002H_03,70539,Varok Saurfang
BARL_003H_01,70907,Death Speaker Blackthorn
BARL_003H_02,70908,Death Speaker Blackthorn
BARL_003H_03,70909,Death Speaker Blackthorn
BARL_004H_01,70910,Mankrik
BARL_004H_02,70911,Mankrik
BARL_004H_03,70912,Mankrik
BARL_005H_01,70913,Vol'jin
BARL_005H_02,70914,Vol'jin
BARL_005H_03,70915,Vol'jin
BARL_007H_01,70919,Lady Anacondra
BARL_007H_02,70920,Lady Anacondra
BARL_007H_03,70921,Lady Anacondra
BARL_008H_01,70852,Mutanus
BARL_008H_02,70851,Mutanus
BARL_008H_03,70850,Mutanus
BARL_009H_01,70855,War Master Voone
BARL_009H_02,70854,War Master Voone
BARL_009H_03,70853,War Master Voone
BARL_010H_01,70922,Gul'dan
BARL_010H_02,70923,Gul'dan
BARL_010H_03,70925,Gul'dan
BARL_011H_01,70926,Cho'gall
BARL_011H_02,70927,Cho'gall
BARL_011H_03,70928,Cho'gall
BARL_012H_01,70777,Mannoroth
BARL_012H_02,70776,Mannoroth
BARL_012H_03,70775,Mannoroth
BARL_013H_01,70609,Garrosh Hellscream
BARL_013H_02,70608,Garrosh Hellscream
BARL_013H_03,70422,Garrosh Hellscream
BARL_014H_01,70929,Magatha Grimtotem
BARL_014H_02,70930,Magatha Grimtotem
BARL_014H_03,70931,Magatha Grimtotem
BARL_015H_01,70932,Trigore the Lasher
BARL_015H_02,70933,Trigore the Lasher
BARL_015H_03,70934,Trigore the Lasher
BARL_016H_01,70935,Tyrande Whisperwind
BARL_016H_02,70936,Tyrande Whisperwind
BARL_016H_03,70937,Tyrande Whisperwind
BARL_016H_04,92034,Tyrande Whisperwind
BARL_017H_01,70938,Malfurion Stormrage
BARL_017H_02,70939,Malfurion Stormrage
BARL_017H_03,70940,Malfurion Stormrage
BARL_018H_01,70941,Garona Halforcen
BARL_018H_02,70942,Garona Halforcen
BARL_018H_03,70943,Garona Halforcen
BARL_019H_01,70944,Baine Bloodhoof
BARL_019H_02,70945,Baine Bloodhoof
BARL_019H_03,70946,Baine Bloodhoof
BARL_020H_01,70611,Draka
BARL_020H_02,70610,Draka
BARL_020H_03,70469,Draka
BARL_021H_01,70947,Aranna Starseeker
BARL_021H_02,70948,Aranna Starseeker
BARL_021H_03,70949,Aranna Starseeker
BARL_022H_01,70950,Neeru Fireblade
BARL_022H_02,70951,Neeru Fireblade
BARL_022H_03,70952,Neeru Fireblade
BARL_023H_01,70817,Rathorian
BARL_023H_02,70818,Rathorian
BARL_023H_03,70819,Rathorian
BARL_024H_01,70613,Blademaster Samuro
BARL_024H_02,70612,Blademaster Samuro
BARL_024H_03,70540,Blademaster Samuro
BARL_025H_01,70615,Thrall
BARL_025H_02,70614,Thrall
BARL_025H_03,70304,Thrall
BAR_020,62701,Razormane Raider
BAR_021,62702,Gold Road Grunt
BAR_022,62703,Peon
BAR_024,62705,Oasis Thrasher
BAR_025,62706,Sunwell Initiate
BAR_026,62744,Death's Head Cultist
BAR_027,62745,Darkspear Berserker
BAR_030,62750,Pack Kodo
BAR_031,62811,Sunscale Raptor
BAR_032,62812,Piercing Shot
BAR_033,62813,Prospector's Caravan
BAR_033e,65147,Prospector's Findings
BAR_034,63002,Tame Beast (Rank 1)
BAR_034t,63003,Tame Beast (Rank 2)
BAR_034t2,63004,Tame Beast (Rank 3)
BAR_034t3,65328,Tamed Crab
BAR_034t4,65329,Tamed Scorpid
BAR_034t5,65330,Tamed Thunder Lizard
BAR_035,63007,Kolkar Pack Runner
BAR_035t,63459,Swift Hyena
BAR_037,63088,Warsong Wrangler
BAR_037e,63460,Centaur Call
BAR_038,63010,Tavish Stormpike
BAR_040,62515,South Coast Chieftain
BAR_041,63069,Nofin Can Stop Us
BAR_041e,63075,Mrrgrrrrgle
BAR_041e2,65327,MrrGRRRRgle
BAR_042,63070,Primordial Protector
BAR_043,63071,Tinyfin's Caravan
BAR_044,63065,Chain Lightning (Rank 1)
BAR_044t,63066,Chain Lightning (Rank 2)
BAR_044t2,63067,Chain Lightning (Rank 3)
BAR_045,63072,Arid Stormer
BAR_045e,63513,Storm Cloud
BAR_048,63074,Bru'kan
BAR_060,62481,Hog Rancher
BAR_060t,63189,Hog
BAR_061,62482,Ratchet Privateer
BAR_061e,63379,Privateering
BAR_062,62483,Lushwater Murcenary
BAR_062e,62579,Bolstered
BAR_063,62484,Lushwater Scout
BAR_063e,62492,Emboldened
BAR_064,62485,Talented Arcanist
BAR_064e,63707,Touch of Arcane
BAR_064e2,63708,Touch of Arcane
BAR_065,62486,Venomous Scorpid
BAR_069,62548,Injured Marauder
BAR_070,62549,Gruntled Patron
BAR_071,62550,Taurajo Brave
BAR_072,62581,Burning Blade Acolyte
BAR_072t,62589,Demonspawn
BAR_073,62582,Barrens Blacksmith
BAR_073e,63241,Reforged
BAR_074,62583,Far Watch Post
BAR_074e,65555,Spotted!
BAR_075,62584,Crossroads Watch Post
BAR_075e,63255,Patrolling
BAR_076,62585,Mor'shan Watch Post
BAR_076t,63256,Watchful Grunt
BAR_077,62586,Kargal Battlescar
BAR_077t,63534,Lookout
BAR_078,62587,Blademaster Samuro
BAR_079,62588,"Kazakus, Golem Shaper"
BAR_079_m1,63666,Lesser Golem
BAR_079_m2,63667,Greater Golem
BAR_079_m3,63668,Superior Golem
BAR_079t10,63650,Wildvine
BAR_079t10b,68234,Wildvine
BAR_079t10be,68237,Wildpower
BAR_079t10ce,68238,Wildpower
BAR_079t10e,68236,Wildpower
BAR_079t11,63651,Gromsblood
BAR_079t12,63652,Icecap
BAR_079t12b,71655,Icecap
BAR_079t12c,71659,Icecap
BAR_079t13,63653,Firebloom
BAR_079t13b,63654,Firebloom
BAR_079t13c,63656,Firebloom
BAR_079t14,63657,Mageroyal
BAR_079t14b,63658,Mageroyal
BAR_079t14c,63659,Mageroyal
BAR_079t15,63660,Kingsblood
BAR_079t15b,63661,Kingsblood
BAR_079t15c,63662,Kingsblood
BAR_079t4,63644,Swifthistle
BAR_079t5,63645,Earthroot
BAR_079t6,63646,Sungrass
BAR_079t7,63647,Liferoot
BAR_079t8,63648,Fadeleaf
BAR_079t9,63649,Grave Moss
BAR_080,62176,Shadow Hunter Vol'jin
BAR_081,63380,Southsea Scoundrel
BAR_082,63381,Barrens Trapper
BAR_082e,63735,Barrens Trapping
BAR_305,62804,Flurry (Rank 1)
BAR_305t,62805,Flurry (Rank 2)
BAR_305t2,62806,Flurry (Rank 3)
BAR_306,62845,Sigil of Flame
BAR_307,62871,Void Flayer
BAR_308,62872,Power Word: Fortitude
BAR_308e,62880,Power Word: Fortitude
BAR_309,62873,Desperate Prayer
BAR_310,62874,Lightshower Elemental
BAR_311,62875,Devouring Plague
BAR_312,62876,Soothsayer's Caravan
BAR_313,62877,Priest of An'she
BAR_313e,62882,Sun's Strength
BAR_314,62878,Condemn (Rank 1)
BAR_314t,62883,Condemn (Rank 2)
BAR_314t2,62884,Condemn (Rank 3)
BAR_315,62879,Serena Bloodfeather
BAR_315e1,65593,Flurry of Talons
BAR_315e2,65594,Protective Feathers
BAR_315e3,68228,Slashed
BAR_315e4,68229,Dazed
BAR_316,62887,Oil Rig Ambusher
BAR_317,62888,Field Contact
BAR_318,62889,Silverleaf Poison
BAR_318e,62896,Silverleaf Poison
BAR_319,62890,Wicked Stab (Rank 1)
BAR_319t,62897,Wicked Stab (Rank 2)
BAR_319t2,62898,Wicked Stab (Rank 3)
BAR_320,62891,Efficient Octo-bot
BAR_320e,62899,Training
BAR_321,62892,Paralytic Poison
BAR_321e,62900,Paralytic Poison
BAR_322,62893,Swinetusk Shank
BAR_322e,62901,Improvised Edge
BAR_323,62894,Yoink!
BAR_323e,65738,Yoink!
BAR_324,62895,Apothecary Helbrim
BAR_325,63163,Razorboar
BAR_326,63164,Razorfen Beastmaster
BAR_327,63165,Vile Call
BAR_327t,63410,Ravenous Vilefiend
BAR_328,63166,Vengeful Spirit
BAR_329,63167,Death Speaker Blackthorn
BAR_330,63229,Tuskpiercer
BAR_333,63260,Kurtrus Ashfallen
BAR_333e,63501,Invigorated
BAR_334,63274,Overlord Saurfang
BAR_430,63726,Horde Operative
BAR_533,63021,Thorngrowth Sentries
BAR_533t,63026,Thornguard Turtle
BAR_534,63027,Pride's Fury
BAR_534e,63028,Overrun
BAR_535,63029,Thickhide Kodo
BAR_536,63030,Living Seed (Rank 1)
BAR_536e,63636,Living Seed
BAR_536t,63031,Living Seed (Rank 2)
BAR_536t2,63032,Living Seed (Rank 3)
BAR_536t2e,63638,Living Seed
BAR_536te,63637,Living Seed
BAR_537,63033,Razormane Battleguard
BAR_537e,63037,Razorforced
BAR_538,63038,Druid of the Plains
BAR_538t,63039,Druid of the Plains
BAR_539,63040,Celestial Alignment
BAR_539e,63041,Vortexed
BAR_540,63042,Plaguemaw the Rotting
BAR_541,63056,Runed Orb
BAR_542,63057,Refreshing Spring Water
BAR_544,63059,Reckless Apprentice
BAR_545,63060,Arcane Luminary
BAR_545e,63061,Conjured Reduction
BAR_546,63062,Wildfire
BAR_546e,63063,Flame On!
BAR_546e2,85108,Flame On!
BAR_547,63064,Mordresh Fire Eye
BAR_549,63114,Mark of the Spikeshell
BAR_549e,63115,Everbark
BAR_550,63323,Galloping Savior
BAR_550t,63324,Holy Steed
BAR_551,63461,Barak Kodobane
BAR_552,63517,Scabbs Cutterbutter
BAR_552e,63519,Cookin!
BAR_552o,63518,Cookin!
BAR_705,63467,Sigil of Silence
BAR_705e,63468,Sigil
BAR_720,63227,Guff Runetotem
BAR_720e,63228,Guff's Buff
BAR_721,63591,Mankrik
BAR_721t,63593,"Olgra, Mankrik's Wife"
BAR_721t2,63594,"Mankrik, Consumed by Hatred"
BAR_730,70346,???
BAR_731,70353,???
BAR_732,70368,???
BAR_734,70375,???
BAR_735,63188,Xyrella
